Date,Open,High,Low,Close,Adj Close,Volume
2020-02-18,40894.37891,40894.37891,40894.37891,40894.37891,40894.37891,0
2020-02-19,41323,41323,41323,41323,41323,0
2020-02-20,41170.12109,41170.12109,41170.12109,41170.12109,41170.12109,0
2020-02-24,40363.23047,40363.23047,40363.23047,40363.23047,40363.23047,0
2020-02-25,40281.19922,40281.19922,40281.19922,40281.19922,40281.19922,0
2020-02-26,39888.96094,39888.96094,39888.96094,39888.96094,39888.96094,0
2020-02-27,39745.66406,39745.66406,39745.66406,39745.66406,39745.66406,0
2020-02-28,null,null,null,null,null,null
2020-03-02,38144.02344,38144.02344,38144.02344,38144.02344,38144.02344,0
2020-03-03,null,null,null,null,null,null
2020-03-04,38409.48047,38409.48047,38409.48047,38409.48047,38409.48047,0
2020-03-05,38470.61328,38470.61328,38470.61328,38470.61328,38470.61328,0
2020-03-06,37576.61719,37576.61719,37576.61719,37576.61719,37576.61719,0
2020-03-09,35634.95313,35634.95313,35634.95313,35634.95313,35634.95313,0
2020-03-11,35697.39844,35697.39844,35697.39844,35697.39844,35697.39844,0
2020-03-12,32778.13672,32778.13672,32778.13672,32778.13672,32778.13672,0
2020-03-13,34103.47656,34103.47656,34103.47656,34103.47656,34103.47656,0
2020-03-16,31390.06641,31390.06641,31390.06641,31390.06641,31390.06641,0
2020-03-17,30579.0918,30579.0918,30579.0918,30579.0918,30579.0918,0
2020-03-18,28869.50586,28869.50586,28869.50586,28869.50586,28869.50586,0
2020-03-19,28288.22852,28288.22852,28288.22852,28288.22852,28288.22852,0
2020-03-20,29915.96484,29915.96484,29915.96484,29915.96484,29915.96484,0
2020-03-23,null,null,null,null,null,null
2020-03-24,26674.02734,26674.02734,26674.02734,26674.02734,26674.02734,0
2020-03-25,28535.7793,28535.7793,28535.7793,28535.7793,28535.7793,0
2020-03-26,null,null,null,null,null,null
2020-03-27,29815.58984,29815.58984,29815.58984,29815.58984,29815.58984,0
2020-03-30,28440.31641,28440.31641,28440.31641,28440.31641,28440.31641,0
2020-03-31,null,null,null,null,null,null
2020-04-01,28265.30859,28265.30859,28265.30859,28265.30859,28265.30859,0
2020-04-03,27590.95313,27590.95313,27590.95313,27590.95313,27590.95313,0
2020-04-07,30067.21289,30067.21289,30067.21289,30067.21289,30067.21289,0
2020-04-08,29893.96484,29893.96484,29893.96484,29893.96484,29893.96484,0
2020-04-09,null,null,null,null,null,null
2020-04-13,30690.01758,30690.01758,30690.01758,30690.01758,30690.01758,0
2020-04-15,30379.80859,30379.80859,30379.80859,30379.80859,30379.80859,0
2020-04-16,30602.61133,30602.61133,30602.61133,30602.61133,30602.61133,0
2020-04-17,null,null,null,null,null,null
2020-04-20,31647.99609,31647.99609,31647.99609,31647.99609,31647.99609,0
2020-04-21,30636.71484,30636.71484,30636.71484,30636.71484,30636.71484,0
2020-04-22,31379.55273,31379.55273,31379.55273,31379.55273,31379.55273,0
2020-04-23,31863.07813,31863.07813,31863.07813,31863.07813,31863.07813,0
2020-04-24,31327.22266,31327.22266,31327.22266,31327.22266,31327.22266,0
